,batches_count,seed,epochs,k,eta,loss,initializer,regularizer,optimizer,verbose,regularizer_params,optimizer_params,initializer_params,mrr,mr,hits_1,hits_3,hits_10
23,100,42,3,100,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.03847787557831233,141.61971830985917,0.014084507042253521,0.02112676056338028,0.07746478873239436
24,100,42,4,20,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.04544071617314187,146.8661971830986,0.02112676056338028,0.028169014084507043,0.07746478873239436
25,100,42,4,20,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.06466700071479574,138.54225352112675,0.035211267605633804,0.07042253521126761,0.08450704225352113
26,100,42,4,60,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.030880730156934735,145.9718309859155,0.007042253521126761,0.02112676056338028,0.04929577464788732
27,100,42,4,60,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.04417286339417258,143.8450704225352,0.02112676056338028,0.035211267605633804,0.07042253521126761
28,100,42,4,100,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.09256928875675983,133.51408450704224,0.06338028169014084,0.09154929577464789,0.14084507042253522
29,100,42,4,100,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.09498900409433975,120.17605633802818,0.04225352112676056,0.1056338028169014,0.16901408450704225
30,100,42,5,20,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.05195892548168719,136.07746478873239,0.014084507042253521,0.04929577464788732,0.1056338028169014
31,100,42,5,20,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.08015050927255361,121.66197183098592,0.04929577464788732,0.07042253521126761,0.11971830985915492
32,100,42,5,60,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.05206216636588907,134.72535211267606,0.02112676056338028,0.04225352112676056,0.09154929577464789
33,100,42,5,60,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.09414098621806581,117.59859154929578,0.04929577464788732,0.09859154929577464,0.14788732394366197
34,100,42,5,100,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.12306215930446895,99.35915492957747,0.07042253521126761,0.11971830985915492,0.21830985915492956
35,100,42,5,100,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.18935182534050518,82.04929577464789,0.1267605633802817,0.19718309859154928,0.3028169014084507
36,120,42,3,20,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.045562601632515846,150.54929577464787,0.02112676056338028,0.04225352112676056,0.07746478873239436
37,120,42,3,20,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.034426066188568055,148.64788732394365,0.007042253521126761,0.028169014084507043,0.06338028169014084
38,120,42,3,60,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.026832898294728614,160.19014084507043,0.007042253521126761,0.014084507042253521,0.04929577464788732
39,120,42,3,60,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.03906713700593986,152.7394366197183,0.02112676056338028,0.028169014084507043,0.04929577464788732
40,120,42,3,100,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.051735009763336115,135.01408450704224,0.014084507042253521,0.06338028169014084,0.08450704225352113
41,120,42,3,100,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.05669788712538302,135.6267605633803,0.02112676056338028,0.06338028169014084,0.09859154929577464
42,120,42,4,20,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.06089013412228369,145.2605633802817,0.04225352112676056,0.04225352112676056,0.08450704225352113
43,120,42,4,20,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.057000096269427855,134.07042253521126,0.035211267605633804,0.04225352112676056,0.08450704225352113
44,120,42,4,60,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.03808273851515787,152.4718309859155,0.02112676056338028,0.02112676056338028,0.07042253521126761
45,120,42,4,60,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.051596436706507744,136.69718309859155,0.02112676056338028,0.035211267605633804,0.09859154929577464
46,120,42,4,100,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.10732848353824304,117.61267605633803,0.06338028169014084,0.1056338028169014,0.176056338028169
47,120,42,4,100,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.13228517834304263,105.80985915492958,0.08450704225352113,0.13380281690140844,0.2112676056338028
48,120,42,5,20,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.07497136676908177,128.05633802816902,0.04225352112676056,0.07042253521126761,0.11267605633802817
49,120,42,5,20,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.08258636810564944,110.75352112676056,0.04929577464788732,0.07042253521126761,0.13380281690140844
50,120,42,5,60,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.06443525234058332,140.03521126760563,0.035211267605633804,0.06338028169014084,0.09859154929577464
51,120,42,5,60,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.10061909574307183,103.82394366197182,0.04929577464788732,0.1056338028169014,0.18309859154929578
52,120,42,5,100,1,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.1671502799914788,88.23239436619718,0.1056338028169014,0.16901408450704225,0.28169014084507044
53,120,42,5,100,5,multiclass_nll,xavier,LP,adam,False,"{'p': 2, 'lambda': 0.001}",{'lr': 0.001},{'uniform': False},0.2576689014095274,57.70422535211268,0.19014084507042253,0.2746478873239437,0.3732394366197183
